이수학년,이수학기,학과,이수구분,교과목번호,교과목명
1,1학기,소프트웨어학과,교양필수,120001,채플1
1,1학기,소프트웨어학과,교양필수,120025,디자인과창의적발상(어드벤처디자인)
1,1학기,소프트웨어학과,교양필수,120026,영어1
1,1학기,소프트웨어학과,교양필수,120068,열린사고와 표현
1,1학기,소프트웨어학과,교선기초,160012,일반수학1
1,2학기,소프트웨어학과,교양필수,120002,채플2
1,2학기,소프트웨어학과,교양필수,120027,영어2
1,2학기,소프트웨어학과,교양필수,120030,중국어1
1,2학기,소프트웨어학과,교양필수,120069,고전으로세상읽기
1,2학기,소프트웨어학과,교선기초,160023,컴퓨터공학개론
1,2학기,소프트웨어학과,교선기초,160039,프로그래밍기초
1,2학기,소프트웨어학과,전공필수,310476,선형대수
2,1학기,소프트웨어학과,교양필수,120003,채플3
2,1학기,소프트웨어학과,교양필수,120028,영어3
2,1학기,소프트웨어학과,교양필수,120031,중국어2
2,1학기,소프트웨어학과,전공필수,310477,고급프로그래밍
2,1학기,소프트웨어학과,전공필수,310478,소프트웨어개발실습1
2,1학기,소프트웨어학과,전공선택,322653,소프트웨어기초프로젝트
2,1학기,소프트웨어학과,전공선택,322654,이산수학
2,1학기,소프트웨어학과,전공선택,322657,자바MC
2,1학기,소프트웨어학과,전공선택,325129,오픈소프트웨어실습
2,2학기,소프트웨어학과,교양필수,120004,채플4
2,2학기,소프트웨어학과,교양필수,120066,창의적생활코딩2
2,2학기,소프트웨어학과,전공필수,310479,자료구조및알고리즘
2,2학기,소프트웨어학과,전공필수,310480,소프트웨어개발실습2
2,2학기,소프트웨어학과,전공선택,322658,컴퓨터구조
2,2학기,소프트웨어학과,전공선택,322659,사용자인터페이스기획및설계
2,2학기,소프트웨어학과,전공선택,322660,컴퓨터네트워크
2,2학기,소프트웨어학과,전공선택,322661,소프트웨어실무영어
2,2학기,소프트웨어학과,전공선택,322673,자료구조MC
3,1학기,소프트웨어학과,교양필수,120005,채플5
3,1학기,소프트웨어학과,전공선택,322674,소프트웨어개발실습3
3,1학기,소프트웨어학과,전공선택,322689,인공지능개론
3,1학기,소프트웨어학과,전공선택,322690,데이터베이스
3,1학기,소프트웨어학과,전공선택,323205,소프트웨어스튜디오1
3,1학기,소프트웨어학과,전공선택,325951,소프트웨어공학
3,2학기,소프트웨어학과,교양필수,120006,채플6
3,2학기,소프트웨어학과,전공선택,323207,소프트웨어개발실습4
3,2학기,소프트웨어학과,전공선택,323208,운영체제
3,2학기,소프트웨어학과,전공선택,323216,소프트웨어분석및설계
3,2학기,소프트웨어학과,전공선택,323217,데이터베이스설계
3,2학기,소프트웨어학과,전공선택,323218,데이터시각화
3,2학기,소프트웨어학과,전공선택,323219,소프트웨어스튜디오2
4,1학기,소프트웨어학과,전공필수,310481,캡스톤디자인1
4,1학기,소프트웨어학과,전공선택,323220,웹서버프로그래밍
4,1학기,소프트웨어학과,전공선택,323221,소프트웨어설계패턴
4,1학기,소프트웨어학과,전공선택,323222,빅데이터캡스톤프로젝트
4,1학기,소프트웨어학과,전공선택,323223,복합현실설계및응용
4,2학기,소프트웨어학과,전공선택,323224,캡스톤디자인2
4,2학기,소프트웨어학과,전공선택,323226,클라우드컴퓨팅
